"","Date","Open","High","Low","Close","Volume"
"239",2016-11-25 11:00:00,64809,65134,64739,64773,547969
"240",2016-11-25 12:00:00,64773,64802,64560,64743,343632
"241",2016-11-25 13:00:00,64743,64840,64660,64701,280173
"242",2016-11-25 14:00:00,64701,64814,64645,64773,112377
"243",2016-11-25 15:00:00,64773,64930,64761,64873,180249
"244",2016-11-25 16:00:00,64870,64907,64798,64860,125360
"245",2016-11-25 17:00:00,64857,64970,64806,64925,186981
"246",2016-11-25 18:00:00,64925,65024,64864,64927,199724
"247",2016-11-25 19:00:00,64929,65212,64926,65200,210781
"248",2016-11-25 20:00:00,65184,65206,65110,65139,109434
"249",2016-11-25 21:00:00,65139,65194,65063,65096,101816
"250",2016-11-25 22:00:00,65095,65249,65056,65238,77979
"251",2016-11-25 23:00:00,65238,65243,65090,65170,50981
"252",2016-11-26 00:00:00,65168,65224,65157,65216,29757
"253",2016-11-28 11:00:00,65186,65229,64981,65164,353952
"254",2016-11-28 12:00:00,65162,65436,65121,65319,399234
"255",2016-11-28 13:00:00,65318,65339,65125,65163,201885
"256",2016-11-28 14:00:00,65161,65288,65116,65249,162776
"257",2016-11-28 15:00:00,65250,65469,65228,65341,229489
"258",2016-11-28 16:00:00,65345,65363,65177,65226,209602
"259",2016-11-28 17:00:00,65225,65307,65157,65242,171888
"260",2016-11-28 18:00:00,65240,65240,64914,64946,373687
"261",2016-11-28 19:00:00,64945,65050,64805,65046,256298
"262",2016-11-28 20:00:00,65052,65131,64907,64958,155440
"263",2016-11-28 21:00:00,64956,65095,64935,65073,104042
"264",2016-11-28 22:00:00,65076,65094,64989,65026,47990
"265",2016-11-28 23:00:00,65026,65135,64995,65114,43268
"266",2016-11-29 00:00:00,65115,65155,65079,65119,39665
"267",2016-11-29 11:00:00,65119,65245,65090,65167,252683
"268",2016-11-29 12:00:00,65164,65255,65121,65170,207137
"269",2016-11-29 13:00:00,65171,65296,65167,65237,190323
"270",2016-11-29 14:00:00,65236,65332,65181,65324,226637
"271",2016-11-29 15:00:00,65324,65339,65223,65288,173323
"272",2016-11-29 16:00:00,65287,65555,65256,65545,320080
"273",2016-11-29 17:00:00,65545,65730,65503,65686,440388
"274",2016-11-29 18:00:00,65685,65709,65445,65571,382368
"275",2016-11-29 19:00:00,65571,65668,65525,65587,154128
"276",2016-11-29 20:00:00,65599,65747,65563,65563,95004
"277",2016-11-29 21:00:00,65563,65612,65540,65572,41015
"278",2016-11-29 22:00:00,65572,65583,65490,65525,49813
"279",2016-11-29 23:00:00,65525,65529,65319,65331,109646
"280",2016-11-30 00:00:00,65331,65368,65276,65350,56766
"281",2016-11-30 11:00:00,65339,65607,65192,65575,395714
"282",2016-11-30 12:00:00,65575,65579,65075,65155,539316
"283",2016-11-30 13:00:00,65158,65210,64932,65065,443684
"284",2016-11-30 14:00:00,65064,65188,64724,64818,612060
"285",2016-11-30 15:00:00,64809,64813,64231,64285,669627
"286",2016-11-30 16:00:00,64286,64573,64175,64396,529073
"287",2016-11-30 17:00:00,64393,64630,64333,64397,399494
"288",2016-11-30 18:00:00,64397,64816,64370,64667,409626
"289",2016-11-30 19:00:00,64664,64742,64506,64647,195279
"290",2016-11-30 20:00:00,64650,64853,64342,64387,356427
"291",2016-11-30 21:00:00,64387,64516,64292,64297,113027
"292",2016-11-30 22:00:00,64295,64345,64223,64238,59365
"293",2016-11-30 23:00:00,64239,64376,64222,64358,80015
"294",2016-12-01 00:00:00,64359,64365,64322,64343,28174
