<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.Si-12.16;60;20161114;110000;66.235.0000000;66.483.0000000;66.184.0000000;66.336.0000000;372.629
SPFB.Si-12.16;60;20161114;120000;66.335.0000000;66.841.0000000;66.296.0000000;66.833.0000000;393.548
SPFB.Si-12.16;60;20161114;130000;66.832.0000000;66.914.0000000;66.594.0000000;66.679.0000000;331.432
SPFB.Si-12.16;60;20161114;140000;66.679.0000000;66.739.0000000;66.517.0000000;66.688.0000000;313.209
SPFB.Si-12.16;60;20161114;150000;66.688.0000000;66.979.0000000;66.688.0000000;66.856.0000000;293.269
SPFB.Si-12.16;60;20161114;160000;66.855.0000000;66.885.0000000;66.642.0000000;66.858.0000000;247.401
SPFB.Si-12.16;60;20161114;170000;66.860.0000000;66.986.0000000;66.667.0000000;66.671.0000000;258.018
SPFB.Si-12.16;60;20161114;180000;66.673.0000000;66.838.0000000;66.578.0000000;66.793.0000000;367.398
SPFB.Si-12.16;60;20161114;190000;66.791.0000000;66.821.0000000;66.644.0000000;66.767.0000000;152.634
SPFB.Si-12.16;60;20161114;200000;66.780.0000000;66.960.0000000;66.780.0000000;66.848.0000000;169.391
SPFB.Si-12.16;60;20161114;210000;66.844.0000000;66.889.0000000;66.762.0000000;66.780.0000000;72.088
SPFB.Si-12.16;60;20161114;220000;66.778.0000000;66.825.0000000;66.530.0000000;66.578.0000000;144.181
SPFB.Si-12.16;60;20161114;230000;66.577.0000000;66.695.0000000;66.562.0000000;66.569.0000000;99.937
SPFB.Si-12.16;60;20161115;000000;66.573.0000000;66.593.0000000;66.482.0000000;66.498.0000000;49.459
SPFB.Si-12.16;60;20161115;110000;66.490.0000000;66.490.0000000;65.917.0000000;65.983.0000000;538.346
SPFB.Si-12.16;60;20161115;120000;65.983.0000000;66.015.0000000;65.765.0000000;65.915.0000000;348.358
SPFB.Si-12.16;60;20161115;130000;65.914.0000000;65.948.0000000;65.858.0000000;65.910.0000000;161.128
SPFB.Si-12.16;60;20161115;140000;65.910.0000000;65.968.0000000;65.701.0000000;65.811.0000000;241.544
SPFB.Si-12.16;60;20161115;150000;65.811.0000000;65.929.0000000;65.600.0000000;65.602.0000000;271.983
SPFB.Si-12.16;60;20161115;160000;65.600.0000000;65.808.0000000;65.590.0000000;65.671.0000000;316.640
SPFB.Si-12.16;60;20161115;170000;65.671.0000000;65.803.0000000;65.644.0000000;65.757.0000000;230.977
SPFB.Si-12.16;60;20161115;180000;65.756.0000000;65.816.0000000;65.352.0000000;65.365.0000000;520.249
SPFB.Si-12.16;60;20161115;190000;65.362.0000000;65.386.0000000;65.015.0000000;65.220.0000000;513.370
SPFB.Si-12.16;60;20161115;200000;65.211.0000000;65.232.0000000;65.004.0000000;65.025.0000000;191.037
SPFB.Si-12.16;60;20161115;210000;65.027.0000000;65.137.0000000;64.951.0000000;64.988.0000000;145.378
SPFB.Si-12.16;60;20161115;220000;64.987.0000000;65.048.0000000;64.961.0000000;65.027.0000000;67.397
SPFB.Si-12.16;60;20161115;230000;65.028.0000000;65.072.0000000;64.700.0000000;64.785.0000000;190.928
SPFB.Si-12.16;60;20161116;000000;64.782.0000000;64.796.0000000;64.618.0000000;64.653.0000000;97.584
SPFB.Si-12.16;60;20161116;110000;64.618.0000000;65.120.0000000;64.452.0000000;65.069.0000000;634.025
SPFB.Si-12.16;60;20161116;120000;65.068.0000000;65.569.0000000;65.005.0000000;65.466.0000000;625.950
SPFB.Si-12.16;60;20161116;130000;65.466.0000000;65.980.0000000;65.460.0000000;65.828.0000000;742.616
SPFB.Si-12.16;60;20161116;140000;65.827.0000000;65.889.0000000;65.724.0000000;65.776.0000000;266.787
SPFB.Si-12.16;60;20161116;150000;65.779.0000000;66.022.0000000;65.779.0000000;65.919.0000000;253.745
SPFB.Si-12.16;60;20161116;160000;65.919.0000000;65.938.0000000;65.520.0000000;65.543.0000000;298.483
SPFB.Si-12.16;60;20161116;170000;65.543.0000000;65.585.0000000;65.163.0000000;65.284.0000000;532.474
SPFB.Si-12.16;60;20161116;180000;65.283.0000000;65.532.0000000;65.281.0000000;65.391.0000000;332.148
SPFB.Si-12.16;60;20161116;190000;65.396.0000000;65.469.0000000;64.823.0000000;64.916.0000000;463.952
SPFB.Si-12.16;60;20161116;200000;64.947.0000000;65.325.0000000;64.940.0000000;65.093.0000000;292.896
SPFB.Si-12.16;60;20161116;210000;65.093.0000000;65.110.0000000;64.875.0000000;64.953.0000000;132.721
SPFB.Si-12.16;60;20161116;220000;64.952.0000000;65.092.0000000;64.943.0000000;64.996.0000000;70.617
SPFB.Si-12.16;60;20161116;230000;64.995.0000000;65.251.0000000;64.986.0000000;65.227.0000000;85.227
SPFB.Si-12.16;60;20161117;000000;65.226.0000000;65.234.0000000;65.119.0000000;65.215.0000000;49.466
SPFB.Si-12.16;60;20161117;110000;65.192.0000000;65.528.0000000;65.136.0000000;65.385.0000000;395.792
SPFB.Si-12.16;60;20161117;120000;65.386.0000000;65.386.0000000;65.045.0000000;65.103.0000000;375.870
SPFB.Si-12.16;60;20161117;130000;65.101.0000000;65.191.0000000;65.070.0000000;65.160.0000000;142.970
SPFB.Si-12.16;60;20161117;140000;65.163.0000000;65.174.0000000;64.958.0000000;65.037.0000000;189.292
SPFB.Si-12.16;60;20161117;150000;65.037.0000000;65.037.0000000;64.712.0000000;64.844.0000000;312.541
SPFB.Si-12.16;60;20161117;160000;64.845.0000000;64.950.0000000;64.746.0000000;64.941.0000000;184.135
SPFB.Si-12.16;60;20161117;170000;64.946.0000000;65.359.0000000;64.943.0000000;65.117.0000000;453.114
SPFB.Si-12.16;60;20161117;180000;65.118.0000000;65.141.0000000;64.702.0000000;64.804.0000000;409.782
SPFB.Si-12.16;60;20161117;190000;64.803.0000000;65.049.0000000;64.751.0000000;64.974.0000000;274.835
SPFB.Si-12.16;60;20161117;200000;64.969.0000000;65.007.0000000;64.785.0000000;64.886.0000000;168.508
SPFB.Si-12.16;60;20161117;210000;64.885.0000000;65.163.0000000;64.775.0000000;65.069.0000000;124.302
SPFB.Si-12.16;60;20161117;220000;65.067.0000000;65.150.0000000;64.922.0000000;65.144.0000000;108.406
SPFB.Si-12.16;60;20161117;230000;65.145.0000000;65.260.0000000;65.077.0000000;65.240.0000000;133.686
SPFB.Si-12.16;60;20161118;000000;65.240.0000000;65.275.0000000;65.199.0000000;65.267.0000000;68.095
SPFB.Si-12.16;60;20161118;110000;65.268.0000000;65.619.0000000;65.262.0000000;65.407.0000000;665.455
SPFB.Si-12.16;60;20161118;120000;65.408.0000000;65.699.0000000;65.407.0000000;65.483.0000000;408.949
SPFB.Si-12.16;60;20161118;130000;65.483.0000000;65.561.0000000;65.361.0000000;65.543.0000000;270.362
SPFB.Si-12.16;60;20161118;140000;65.543.0000000;65.588.0000000;65.402.0000000;65.458.0000000;244.055
SPFB.Si-12.16;60;20161118;150000;65.458.0000000;65.458.0000000;65.181.0000000;65.220.0000000;196.020
SPFB.Si-12.16;60;20161118;160000;65.223.0000000;65.238.0000000;64.980.0000000;64.996.0000000;347.952
SPFB.Si-12.16;60;20161118;170000;64.996.0000000;65.192.0000000;64.966.0000000;65.153.0000000;245.980
SPFB.Si-12.16;60;20161118;180000;65.153.0000000;65.158.0000000;64.850.0000000;64.995.0000000;263.914
SPFB.Si-12.16;60;20161118;190000;64.989.0000000;65.195.0000000;64.960.0000000;65.171.0000000;219.760
SPFB.Si-12.16;60;20161118;200000;65.197.0000000;65.295.0000000;65.000.0000000;65.029.0000000;169.707
SPFB.Si-12.16;60;20161118;210000;65.030.0000000;65.080.0000000;65.003.0000000;65.008.0000000;63.251
SPFB.Si-12.16;60;20161118;220000;65.008.0000000;65.119.0000000;65.000.0000000;65.046.0000000;54.416
SPFB.Si-12.16;60;20161118;230000;65.047.0000000;65.050.0000000;64.953.0000000;65.022.0000000;37.830
SPFB.Si-12.16;60;20161119;000000;65.023.0000000;65.068.0000000;65.013.0000000;65.050.0000000;21.996
SPFB.Si-12.16;60;20161121;110000;65.047.0000000;65.047.0000000;64.638.0000000;64.705.0000000;416.337
SPFB.Si-12.16;60;20161121;120000;64.708.0000000;64.725.0000000;64.473.0000000;64.477.0000000;302.980
SPFB.Si-12.16;60;20161121;130000;64.475.0000000;64.695.0000000;64.449.0000000;64.602.0000000;220.244
SPFB.Si-12.16;60;20161121;140000;64.600.0000000;64.659.0000000;64.555.0000000;64.623.0000000;134.374
SPFB.Si-12.16;60;20161121;150000;64.632.0000000;64.702.0000000;64.467.0000000;64.530.0000000;190.747
SPFB.Si-12.16;60;20161121;160000;64.529.0000000;64.607.0000000;64.496.0000000;64.524.0000000;126.479
SPFB.Si-12.16;60;20161121;170000;64.525.0000000;64.535.0000000;64.323.0000000;64.411.0000000;263.315
SPFB.Si-12.16;60;20161121;180000;64.412.0000000;64.424.0000000;64.267.0000000;64.370.0000000;276.288
SPFB.Si-12.16;60;20161121;190000;64.367.0000000;64.437.0000000;64.284.0000000;64.293.0000000;123.734
SPFB.Si-12.16;60;20161121;200000;64.291.0000000;64.423.0000000;64.219.0000000;64.356.0000000;124.518
SPFB.Si-12.16;60;20161121;210000;64.358.0000000;64.390.0000000;64.253.0000000;64.300.0000000;59.113
SPFB.Si-12.16;60;20161121;220000;64.298.0000000;64.350.0000000;64.250.0000000;64.280.0000000;43.978
SPFB.Si-12.16;60;20161121;230000;64.281.0000000;64.376.0000000;64.275.0000000;64.339.0000000;44.277
SPFB.Si-12.16;60;20161122;000000;64.338.0000000;64.341.0000000;64.240.0000000;64.274.0000000;36.873
SPFB.Si-12.16;60;20161122;110000;64.244.0000000;64.244.0000000;63.859.0000000;63.911.0000000;435.017
SPFB.Si-12.16;60;20161122;120000;63.911.0000000;64.048.0000000;63.910.0000000;63.978.0000000;216.792
SPFB.Si-12.16;60;20161122;130000;63.980.0000000;63.987.0000000;63.782.0000000;63.865.0000000;287.311
SPFB.Si-12.16;60;20161122;140000;63.865.0000000;64.023.0000000;63.857.0000000;64.017.0000000;173.737
SPFB.Si-12.16;60;20161122;150000;64.014.0000000;64.342.0000000;63.985.0000000;64.304.0000000;358.070
SPFB.Si-12.16;60;20161122;160000;64.306.0000000;64.457.0000000;64.215.0000000;64.308.0000000;352.084
SPFB.Si-12.16;60;20161122;170000;64.307.0000000;64.400.0000000;64.179.0000000;64.264.0000000;321.861
SPFB.Si-12.16;60;20161122;180000;64.263.0000000;64.265.0000000;64.063.0000000;64.098.0000000;231.149
SPFB.Si-12.16;60;20161122;190000;64.099.0000000;64.389.0000000;63.985.0000000;64.363.0000000;315.188
SPFB.Si-12.16;60;20161122;200000;64.340.0000000;64.416.0000000;64.280.0000000;64.355.0000000;225.991
SPFB.Si-12.16;60;20161122;210000;64.355.0000000;64.361.0000000;64.189.0000000;64.244.0000000;116.747
SPFB.Si-12.16;60;20161122;220000;64.247.0000000;64.276.0000000;64.188.0000000;64.214.0000000;38.949
SPFB.Si-12.16;60;20161122;230000;64.214.0000000;64.218.0000000;64.034.0000000;64.116.0000000;112.078
SPFB.Si-12.16;60;20161123;000000;64.115.0000000;64.190.0000000;64.078.0000000;64.078.0000000;40.013
SPFB.Si-12.16;60;20161123;110000;64.099.0000000;64.393.0000000;64.000.0000000;64.385.0000000;417.610
SPFB.Si-12.16;60;20161123;120000;64.385.0000000;64.587.0000000;64.380.0000000;64.544.0000000;327.298
SPFB.Si-12.16;60;20161123;130000;64.541.0000000;64.579.0000000;64.479.0000000;64.556.0000000;195.995
SPFB.Si-12.16;60;20161123;140000;64.557.0000000;64.700.0000000;64.547.0000000;64.652.0000000;294.490
SPFB.Si-12.16;60;20161123;150000;64.651.0000000;64.796.0000000;64.624.0000000;64.774.0000000;233.754
SPFB.Si-12.16;60;20161123;160000;64.771.0000000;64.817.0000000;64.533.0000000;64.542.0000000;348.342
SPFB.Si-12.16;60;20161123;170000;64.542.0000000;64.919.0000000;64.515.0000000;64.859.0000000;431.221
SPFB.Si-12.16;60;20161123;180000;64.858.0000000;65.263.0000000;64.813.0000000;65.217.0000000;626.372
SPFB.Si-12.16;60;20161123;190000;65.215.0000000;65.260.0000000;64.825.0000000;64.851.0000000;484.803
SPFB.Si-12.16;60;20161123;200000;64.897.0000000;65.060.0000000;64.854.0000000;64.876.0000000;317.605
SPFB.Si-12.16;60;20161123;210000;64.877.0000000;64.878.0000000;64.677.0000000;64.705.0000000;124.994
SPFB.Si-12.16;60;20161123;220000;64.704.0000000;64.840.0000000;64.665.0000000;64.740.0000000;78.617
SPFB.Si-12.16;60;20161123;230000;64.738.0000000;64.808.0000000;64.711.0000000;64.791.0000000;53.565
